Ticker,Date,Revenue,EBITDA,NetIncome,TotalAssets,CommonEquity,EPS,ROA,ROE,LogAssets
LRCX,2023-03-25,3869.57,1049.38,68.14,19243.36,59.54,0.6,0.00354096166158093,1.1444407121263016,9.864921345147213
LRCX,2023-06-24,3207.26,867.79,62.27,18781.64,61.04,0.6,0.0033154719183202323,1.0201507208387943,9.840635075893035
LRCX,2023-09-23,3482.06,1032.99,51.39,18538.46,61.94,0.67,0.002772074918844392,0.8296738779463998,9.8276027720237
LRCX,2023-12-23,3758.26,1073.86,41.85,18783.85,60.61,0.72,0.002227977757488481,0.6904801187922786,9.840752737076347
LRCX,2024-03-30,3793.56,1087.56,43.95,18279.65,62.12,0.73,0.002404312992863649,0.7075016097875081,9.813543698216527
LRCX,2024-06-29,3871.51,1131.07,45.71,18744.73,58.36,0.78,0.002438552062366329,0.7832419465387251,9.838667925225252
LRCX,2024-09-28,4167.98,1264.2,49.12,19532.49,58.83,0.86,0.0025147843413717346,0.8349481557028726,9.879834511903534
LRCX,2024-12-28,4376.05,1333.88,50.42,19839.92,56.57,0.92,0.0025413408925035992,0.8912851334629662,9.895451348572669
LRCX,2025-03-29,4720.18,1561.76,53.14,19968.31,47.15,1.03,0.0026612166978577556,1.1270413573700955,9.901901795888389
LRCX,2025-06-28,5171.39,1741.13,58.24,21345.26,45.47,1.35,0.0027284746121621385,1.2808445128656258,9.96858497995648
LRCX,2025-09-27,5324.17,1829.09,62.26,21900.21,43.99,1.24,0.0028428951137911464,1.4153216640145487,9.994251504799713
LRCX,2025-12-27,5344.79,1810.2,65.56,21391.17,44.19,1.26,0.0030648159965069705,1.483593573206608,9.970733499037769
MS,2021-12-30,5891.0,5030.0,,1188140.0,81405.0,2.01,,,13.987899617079382
MS,2022-03-30,5653.0,4773.0,14.59,1222233.0,79006.0,2.02,1.1937167463159643e-05,0.00018466951877072626,14.016190071569364
MS,2022-06-29,5254.0,3684.0,13.59,1173776.0,77859.0,1.39,1.1578018293098513e-05,0.00017454629522598543,13.975736460483983
MS,2022-09-29,5030.0,3531.0,12.62,1160029.0,77475.0,1.47,1.0879038368868364e-05,0.00016289125524362696,13.963955562770053
MS,2022-12-30,5121.0,2975.0,11.15,1180231.0,76961.0,1.26,9.447303112695735e-06,0.00014487857486259275,13.981220739994692
MS,2023-03-30,5086.0,3963.0,10.5,1199904.0,77827.0,1.71,8.750700056004481e-06,0.00013491461832012026,13.997752111558057
